,division,date,home_team,away_team,full_time_home_goals,full_time_away_goals,lfc_goals,mcfc_goals,full_time_result,full_time_winner,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds
0,E0,12/8/18,Liverpool,West Ham,4,0,4,0,H,?,2,0,H,A Taylor,18,5,8,2,14,9,5,4,1,2,0,0
1,E0,19/08/2018,Man City,Huddersfield,6,1,0,6,H,?,3,1,H,A Marriner,32,5,14,1,9,4,10,3,0,2,0,0
2,E0,25/08/2018,Liverpool,Brighton,1,0,1,0,H,?,1,0,H,C Kavanagh,22,6,8,2,8,14,8,5,1,1,0,0
3,E0,1/9/18,Man City,Newcastle,2,1,0,2,H,?,1,1,D,K Friend,24,3,8,2,5,13,4,0,0,0,0,0
4,E0,15/09/2018,Man City,Fulham,3,0,0,3,H,?,2,0,H,S Attwell,28,9,9,3,7,7,10,4,0,0,0,0
5,E0,22/09/2018,Liverpool,Southampton,3,0,3,0,H,?,3,0,H,P Tierney,12,7,4,1,7,10,5,4,0,2,0,0
6,E0,29/09/2018,Man City,Brighton,2,0,0,2,H,?,1,0,H,L Mason,28,4,8,1,4,10,10,3,0,3,0,0
7,E0,7/10/18,Liverpool,Man City,0,0,0,0,D,?,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0
8,E0,20/10/2018,Man City,Burnley,5,0,0,5,H,?,1,0,H,J Moss,24,5,10,0,11,5,10,1,2,2,0,0
9,E0,27/10/2018,Liverpool,Cardiff,4,1,4,0,H,?,1,0,H,S Attwell,19,2,7,1,6,4,8,0,0,0,0,0
10,E0,4/11/18,Man City,Southampton,6,1,0,6,H,?,4,1,H,L Mason,18,12,8,6,14,9,4,4,1,1,0,0
11,E0,11/11/18,Liverpool,Fulham,2,0,2,0,H,?,1,0,H,P Tierney,20,8,7,3,11,9,6,3,1,1,0,0
12,E0,11/11/18,Man City,Man United,3,1,0,3,H,?,1,0,H,A Taylor,17,6,5,1,12,12,5,1,1,1,0,0
13,E0,1/12/18,Man City,Bournemouth,3,1,0,3,H,?,1,1,D,S Attwell,16,4,6,1,9,3,8,4,0,0,0,0
14,E0,2/12/18,Liverpool,Everton,1,0,1,0,H,?,0,0,D,C Kavanagh,16,9,3,3,12,7,8,1,3,2,0,0
15,E0,15/12/2018,Man City,Everton,3,1,0,3,H,?,1,0,H,C Pawson,13,9,5,2,7,9,6,2,1,2,0,0
16,E0,16/12/2018,Liverpool,Man United,3,1,3,0,H,?,1,1,D,M Atkinson,36,6,11,2,6,14,13,2,0,2,0,0
17,E0,22/12/2018,Man City,Crystal Palace,2,3,0,2,A,?,1,2,A,A Marriner,19,5,5,3,7,6,13,0,0,4,0,0
18,E0,26/12/2018,Liverpool,Newcastle,4,0,4,0,H,?,1,0,H,G Scott,16,6,8,2,7,9,10,2,0,0,0,0
19,E0,29/12/2018,Liverpool,Arsenal,5,1,5,0,H,?,4,1,H,M Oliver,15,8,10,2,8,13,5,3,1,2,0,0
20,E0,3/1/19,Man City,Liverpool,2,1,0,2,H,?,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0
21,E0,14/01/2019,Man City,Wolves,3,0,0,3,H,?,2,0,H,C Pawson,24,3,9,0,6,3,12,1,1,0,0,1
22,E0,19/01/2019,Liverpool,Crystal Palace,4,3,4,0,H,?,0,1,A,J Moss,19,9,9,3,6,8,8,3,0,1,1,0
23,E0,30/01/2019,Liverpool,Leicester,1,1,1,0,D,?,1,1,D,M Atkinson,10,5,3,2,13,6,7,1,1,3,0,0
24,E0,3/2/19,Man City,Arsenal,3,1,0,3,H,?,2,1,H,M Atkinson,19,4,12,2,11,8,4,2,1,1,0,0
25,E0,9/2/19,Liverpool,Bournemouth,3,0,3,0,H,?,2,0,H,A Taylor,20,12,9,2,14,6,8,5,2,2,0,0
26,E0,10/2/19,Man City,Chelsea,6,0,0,6,H,?,4,0,H,M Dean,15,12,9,4,9,13,2,2,1,2,0,0
27,E0,27/02/2019,Liverpool,Watford,5,0,5,0,H,?,2,0,H,G Scott,19,5,10,3,5,7,6,4,0,2,0,0
28,E0,27/02/2019,Man City,West Ham,1,0,0,1,H,?,0,0,D,S Attwell,20,2,7,1,2,6,12,2,0,2,0,0
29,E0,9/3/19,Man City,Watford,3,1,0,3,H,?,0,0,D,P Tierney,19,2,9,1,11,7,9,1,1,1,0,0
30,E0,10/3/19,Liverpool,Burnley,4,2,4,0,H,?,2,1,H,A Marriner,23,3,5,2,4,7,7,3,2,0,0,0
31,E0,31/03/2019,Liverpool,Tottenham,2,1,2,0,H,?,1,0,H,M Atkinson,14,11,3,2,5,8,10,3,0,1,0,0
32,E0,3/4/19,Man City,Cardiff,2,0,0,2,H,?,2,0,H,J Moss,27,4,11,1,3,17,7,4,0,3,0,0
33,E0,14/04/2019,Liverpool,Chelsea,2,0,2,0,H,?,0,0,D,M Oliver,15,6,7,3,5,9,9,2,0,1,0,0
34,E0,20/04/2019,Man City,Tottenham,1,0,0,1,H,?,1,0,H,M Oliver,15,10,4,4,11,11,4,4,1,2,0,0
35,E0,26/04/2019,Liverpool,Huddersfield,5,0,5,0,H,?,3,0,H,K Friend,21,5,7,1,5,14,4,4,0,0,0,0
36,E0,6/5/19,Man City,Leicester,1,0,0,1,H,?,0,0,D,M Dean,19,7,5,2,12,5,11,0,3,2,0,0
37,E0,12/5/19,Liverpool,Wolves,2,0,2,0,H,?,1,0,H,M Atkinson,13,7,5,2,3,11,4,1,0,2,0,0
38,E0,12/8/18,Arsenal,Man City,0,2,0,2,A,?,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0
39,E0,20/08/2018,Crystal Palace,Liverpool,0,2,2,0,A,?,0,1,A,M Oliver,8,16,2,6,6,13,6,7,1,1,1,0
40,E0,25/08/2018,Wolves,Man City,1,1,0,1,D,?,0,0,D,M Atkinson,11,18,2,6,13,8,5,9,1,2,0,0
41,E0,1/9/18,Leicester,Liverpool,1,2,2,0,A,?,0,2,A,P Tierney,12,10,5,4,9,12,4,4,3,2,0,0
42,E0,15/09/2018,Tottenham,Liverpool,1,2,2,0,A,?,0,1,A,M Oliver,11,17,3,10,17,16,5,4,0,0,0,0
43,E0,22/09/2018,Cardiff,Man City,0,5,0,5,A,?,0,3,A,M Oliver,2,21,2,10,6,4,1,9,1,1,0,0
44,E0,29/09/2018,Chelsea,Liverpool,1,1,1,0,D,?,1,0,H,A Marriner,10,13,4,6,7,9,4,4,0,2,0,0
45,E0,7/10/18,Liverpool,Man City,0,0,0,0,D,?,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0
46,E0,20/10/2018,Huddersfield,Liverpool,0,1,1,0,A,?,0,1,A,M Oliver,13,11,1,2,9,6,2,4,0,2,0,0
47,E0,29/10/2018,Tottenham,Man City,0,1,0,1,A,?,0,1,A,K Friend,4,13,1,6,13,13,3,6,2,2,0,0
48,E0,3/11/18,Arsenal,Liverpool,1,1,1,0,D,?,0,0,D,A Marriner,12,13,4,4,7,7,5,8,1,1,0,0
49,E0,24/11/2018,Watford,Liverpool,0,3,3,0,A,?,0,0,D,J Moss,5,10,1,7,12,13,5,5,0,0,0,1
50,E0,24/11/2018,West Ham,Man City,0,4,0,4,A,?,0,3,A,A Marriner,9,9,1,6,6,3,8,1,0,0,0,0
51,E0,4/12/18,Watford,Man City,1,2,0,2,A,?,0,1,A,P Tierney,11,15,7,7,4,8,3,11,0,1,0,0
52,E0,5/12/18,Burnley,Liverpool,1,3,3,0,A,?,0,0,D,S Attwell,10,18,6,12,10,3,5,9,1,0,0,0
53,E0,8/12/18,Bournemouth,Liverpool,0,4,4,0,A,?,0,1,A,L Mason,8,10,2,4,9,11,6,6,2,1,0,0
54,E0,8/12/18,Chelsea,Man City,2,0,0,0,H,?,1,0,H,M Oliver,8,14,5,4,12,11,1,13,2,0,0,0
55,E0,21/12/2018,Wolves,Liverpool,0,2,2,0,A,?,0,1,A,C Pawson,11,15,5,6,7,3,1,10,0,0,0,0
56,E0,26/12/2018,Leicester,Man City,2,1,0,1,H,?,1,1,D,M Dean,10,11,5,4,5,8,3,7,2,2,0,1
57,E0,30/12/2018,Southampton,Man City,1,3,0,3,A,?,1,3,A,P Tierney,5,14,4,6,11,10,3,8,2,3,1,0
58,E0,3/1/19,Man City,Liverpool,2,1,0,2,H,?,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0
59,E0,12/1/19,Brighton,Liverpool,0,1,1,0,A,?,0,0,D,K Friend,7,10,0,3,15,5,2,7,0,0,0,0
60,E0,20/01/2019,Huddersfield,Man City,0,3,0,3,A,?,0,1,A,A Marriner,5,12,2,4,10,9,1,4,2,2,0,0
61,E0,29/01/2019,Newcastle,Man City,2,1,0,1,H,?,0,1,A,P Tierney,6,12,2,4,9,7,1,8,2,3,0,0
62,E0,4/2/19,West Ham,Liverpool,1,1,1,0,D,?,1,1,D,K Friend,13,11,2,6,9,11,2,5,1,1,0,0
63,E0,6/2/19,Everton,Man City,0,2,0,2,A,?,0,1,A,C Pawson,4,15,1,4,12,6,5,6,1,1,0,0
64,E0,24/02/2019,Man United,Liverpool,0,0,0,0,D,?,0,0,D,M Oliver,6,7,3,1,15,17,3,7,1,3,0,0
65,E0,2/3/19,Bournemouth,Man City,0,1,0,1,A,?,0,0,D,K Friend,0,23,0,7,7,7,0,14,1,2,0,0
66,E0,3/3/19,Everton,Liverpool,0,0,0,0,D,?,0,0,D,M Atkinson,7,10,3,3,12,10,3,7,1,2,0,0
67,E0,17/03/2019,Fulham,Liverpool,1,2,2,0,A,?,0,1,A,C Pawson,7,16,2,6,11,7,1,10,2,1,0,0
68,E0,30/03/2019,Fulham,Man City,0,2,0,2,A,?,0,2,A,K Friend,5,24,0,7,4,12,0,11,2,0,0,0
69,E0,5/4/19,Southampton,Liverpool,1,3,3,0,A,?,1,1,D,P Tierney,11,17,1,5,8,7,7,5,2,4,0,0
70,E0,14/04/2019,Crystal Palace,Man City,1,3,0,3,A,?,0,1,A,M Atkinson,7,20,3,6,5,11,2,9,0,0,0,0
71,E0,21/04/2019,Cardiff,Liverpool,0,2,2,0,A,?,0,0,D,M Atkinson,7,17,2,6,6,5,5,10,1,1,0,0
72,E0,24/04/2019,Man United,Man City,0,2,0,2,A,?,0,0,D,A Marriner,12,8,1,5,10,10,1,1,2,2,0,0
73,E0,28/04/2019,Burnley,Man City,0,1,0,1,A,?,0,0,D,P Tierney,2,25,0,7,5,7,0,6,1,1,0,0
74,E0,4/5/19,Newcastle,Liverpool,2,3,3,0,A,?,1,2,A,A Marriner,14,11,7,4,10,4,2,3,1,1,0,0
75,E0,12/5/19,Brighton,Man City,1,4,0,4,A,?,1,2,A,M Oliver,6,20,2,9,12,8,2,6,0,0,0,0
