,division,date,home_team,away_team,full_time_home_goals,full_time_away_goals,mcfc_goals,full_time_result,full_time_winner,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds
0,E0,19/08/2018,Man City,Huddersfield,6,1,6,H,?,3,1,H,A Marriner,32,5,14,1,9,4,10,3,0,2,0,0
1,E0,1/9/18,Man City,Newcastle,2,1,2,H,?,1,1,D,K Friend,24,3,8,2,5,13,4,0,0,0,0,0
2,E0,15/09/2018,Man City,Fulham,3,0,3,H,?,2,0,H,S Attwell,28,9,9,3,7,7,10,4,0,0,0,0
3,E0,29/09/2018,Man City,Brighton,2,0,2,H,?,1,0,H,L Mason,28,4,8,1,4,10,10,3,0,3,0,0
4,E0,20/10/2018,Man City,Burnley,5,0,5,H,?,1,0,H,J Moss,24,5,10,0,11,5,10,1,2,2,0,0
5,E0,4/11/18,Man City,Southampton,6,1,6,H,?,4,1,H,L Mason,18,12,8,6,14,9,4,4,1,1,0,0
6,E0,11/11/18,Man City,Man United,3,1,3,H,?,1,0,H,A Taylor,17,6,5,1,12,12,5,1,1,1,0,0
7,E0,1/12/18,Man City,Bournemouth,3,1,3,H,?,1,1,D,S Attwell,16,4,6,1,9,3,8,4,0,0,0,0
8,E0,15/12/2018,Man City,Everton,3,1,3,H,?,1,0,H,C Pawson,13,9,5,2,7,9,6,2,1,2,0,0
9,E0,22/12/2018,Man City,Crystal Palace,2,3,2,A,?,1,2,A,A Marriner,19,5,5,3,7,6,13,0,0,4,0,0
10,E0,3/1/19,Man City,Liverpool,2,1,2,H,?,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0
11,E0,14/01/2019,Man City,Wolves,3,0,3,H,?,2,0,H,C Pawson,24,3,9,0,6,3,12,1,1,0,0,1
12,E0,3/2/19,Man City,Arsenal,3,1,3,H,?,2,1,H,M Atkinson,19,4,12,2,11,8,4,2,1,1,0,0
13,E0,10/2/19,Man City,Chelsea,6,0,6,H,?,4,0,H,M Dean,15,12,9,4,9,13,2,2,1,2,0,0
14,E0,27/02/2019,Man City,West Ham,1,0,1,H,?,0,0,D,S Attwell,20,2,7,1,2,6,12,2,0,2,0,0
15,E0,9/3/19,Man City,Watford,3,1,3,H,?,0,0,D,P Tierney,19,2,9,1,11,7,9,1,1,1,0,0
16,E0,3/4/19,Man City,Cardiff,2,0,2,H,?,2,0,H,J Moss,27,4,11,1,3,17,7,4,0,3,0,0
17,E0,20/04/2019,Man City,Tottenham,1,0,1,H,?,1,0,H,M Oliver,15,10,4,4,11,11,4,4,1,2,0,0
18,E0,6/5/19,Man City,Leicester,1,0,1,H,?,0,0,D,M Dean,19,7,5,2,12,5,11,0,3,2,0,0
19,E0,12/8/18,Arsenal,Man City,0,2,2,A,?,0,1,A,M Oliver,9,17,3,8,11,14,2,9,2,2,0,0
20,E0,25/08/2018,Wolves,Man City,1,1,1,D,?,0,0,D,M Atkinson,11,18,2,6,13,8,5,9,1,2,0,0
21,E0,22/09/2018,Cardiff,Man City,0,5,5,A,?,0,3,A,M Oliver,2,21,2,10,6,4,1,9,1,1,0,0
22,E0,7/10/18,Liverpool,Man City,0,0,0,D,?,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0
23,E0,29/10/2018,Tottenham,Man City,0,1,1,A,?,0,1,A,K Friend,4,13,1,6,13,13,3,6,2,2,0,0
24,E0,24/11/2018,West Ham,Man City,0,4,4,A,?,0,3,A,A Marriner,9,9,1,6,6,3,8,1,0,0,0,0
25,E0,4/12/18,Watford,Man City,1,2,2,A,?,0,1,A,P Tierney,11,15,7,7,4,8,3,11,0,1,0,0
26,E0,8/12/18,Chelsea,Man City,2,0,0,H,?,1,0,H,M Oliver,8,14,5,4,12,11,1,13,2,0,0,0
27,E0,26/12/2018,Leicester,Man City,2,1,1,H,?,1,1,D,M Dean,10,11,5,4,5,8,3,7,2,2,0,1
28,E0,30/12/2018,Southampton,Man City,1,3,3,A,?,1,3,A,P Tierney,5,14,4,6,11,10,3,8,2,3,1,0
29,E0,20/01/2019,Huddersfield,Man City,0,3,3,A,?,0,1,A,A Marriner,5,12,2,4,10,9,1,4,2,2,0,0
30,E0,29/01/2019,Newcastle,Man City,2,1,1,H,?,0,1,A,P Tierney,6,12,2,4,9,7,1,8,2,3,0,0
31,E0,6/2/19,Everton,Man City,0,2,2,A,?,0,1,A,C Pawson,4,15,1,4,12,6,5,6,1,1,0,0
32,E0,2/3/19,Bournemouth,Man City,0,1,1,A,?,0,0,D,K Friend,0,23,0,7,7,7,0,14,1,2,0,0
33,E0,30/03/2019,Fulham,Man City,0,2,2,A,?,0,2,A,K Friend,5,24,0,7,4,12,0,11,2,0,0,0
34,E0,14/04/2019,Crystal Palace,Man City,1,3,3,A,?,0,1,A,M Atkinson,7,20,3,6,5,11,2,9,0,0,0,0
35,E0,24/04/2019,Man United,Man City,0,2,2,A,?,0,0,D,A Marriner,12,8,1,5,10,10,1,1,2,2,0,0
36,E0,28/04/2019,Burnley,Man City,0,1,1,A,?,0,0,D,P Tierney,2,25,0,7,5,7,0,6,1,1,0,0
37,E0,12/5/19,Brighton,Man City,1,4,4,A,?,1,2,A,M Oliver,6,20,2,9,12,8,2,6,0,0,0,0
